,Path,Output
0,/37333433375f3638.npy,"[chúng	(0.16): [  140,   340), ta	(0.04): [  480,  1060), đi	(0.17): [ 1160,  1320), về	(0.20): [ 1400,  1600), nơi	(0.16): [ 1660,  1860), rất	(0.21): [ 1980,  2160), xa	(0.03): [ 2380,  3380), người	(0.22): [ 3540,  3780), về	(0.17): [ 3840,  4060), một	(0.37): [ 4080,  4220), phương	(0.43): [ 4360,  4580), biết	(0.39): [ 4780,  4960), đến	(0.36): [ 5040,  5200), nơi	(0.34): [ 5300,  5460), nào	(0.29): [ 5560,  5760), gặp	(0.42): [ 5980,  6120), lại	(0.06): [ 6340,  7400), rồi	(0.29): [ 7520,  7720), mai	(0.27): [ 8000,  8200), đây	(0.17): [ 8260,  8600), nếu	(0.35): [ 8700,  8860), trên	(0.43): [ 8940,  9120), đường	(0.51): [ 9200,  9380), đời	(0.24): [ 9460,  9700), thấy	(0.33): [ 9760,  9980), nhau	(0.10): [10220, 11040), hãy	(0.37): [11120, 11280), nói	(0.26): [11400, 11580), em	(0.42): [11720, 11780), nghe	(0.35): [11840, 12020), sao	(0.30): [12140, 12320), anh	(0.60): [12460, 12560), đành	(0.47): [12620, 12780), lòng	(0.52): [12880, 13020), bỏ	(0.01): [13120, 13340), đi	(0.05): [13560, 14360), tình	(0.39): [14460, 14640), đành	(0.39): [14920, 15100), dở	(0.00): [15340, 15540), dang	(0.27): [15800, 15980), thôi	(0.01): [16120, 20100), ngày	(0.40): [20200, 20380), tình	(0.49): [20460, 20620), yêu	(0.47): [20760, 20880), tìm	(0.30): [20920, 21080), đến	(0.29): [21200, 21380), chúng	(0.42): [21620, 21820), ta	(0.06): [21920, 22560), em	(0.47): [22760, 22840), nào	(0.32): [22900, 23080), đâu	(0.36): [23160, 23320), có	(0.27): [23580, 23720), hay	(0.04): [23840, 24960), ngày	(0.28): [25080, 25160), mình	(0.70): [25180, 25260), xa	(0.22): [25540, 25720), nhau	(0.49): [25820, 25980)]"
1,/37323737365f313036.npy,"[chờ	(0.04): [   20,   140), anh	(0.95): [  320,   380), theo	(0.25): [  500,   720), với	(0.05): [  920,  1640), ô	(0.01): [ 1840,  1900), là	(0.01): [ 1960,  2100), ô	(0.02): [ 2220,  2280), cha	(0.05): [ 2380,  2520), cha	(0.10): [ 2580,  2720), cha	(0.00): [ 2800,  9400), cha	(0.16): [ 9540,  9700), cha	(0.07): [ 9760,  9880), cha	(0.20): [ 9980, 10100)]"
2,/37363539395f3237.npy,"[của	(0.08): [   80,   240), tiếng	(0.12): [  320,   520), cười	(0.33): [  540,   720), trên	(0.13): [  880,  1120), môi	(0.02): [ 1360,  2320), ấm	(0.22): [ 2520,  2580), áp	(0.01): [ 2860,  2960), như	(0.01): [ 3180,  3400), mặt	(0.16): [ 3840,  4060), trời	(0.00): [ 4280,  6140), tan	(0.11): [ 6220,  6480), đi	(0.09): [ 6720,  6960), bao	(0.20): [ 7160,  7380), giá	(0.17): [ 7520,  7740), băng	(0.00): [ 8200, 10900), ánh	(0.07): [11140, 11200), mắt	(0.20): [11520, 11760), em	(0.00): [11820, 11900), như	(0.00): [11940, 12240), xua	(0.06): [12920, 13140), màn	(0.06): [13200, 13660), đêm	(0.00): [13900, 15660), đưa	(0.06): [15800, 16080), anh	(0.40): [16200, 16340), đi	(0.22): [16480, 16640), qua	(0.29): [16780, 16960), bao	(0.20): [17040, 17260), đau	(0.14): [17420, 17600), thương	(0.09): [17760, 18540), nắm	(0.26): [18660, 18860), tay	(0.25): [19120, 19340), anh	(0.07): [19720, 20460), đi	(0.12): [20520, 20680), cùng	(0.10): [20820, 21180), anh	(0.34): [21420, 21480)]"
3,/37323739315f3539.npy,"[yêu	(0.03): [   60,   160), thương	(0.60): [  280,   460), kia	(0.30): [  580,   740), mong	(0.43): [  880,  1040), manh	(0.37): [ 1140,  1300), tựa	(0.17): [ 1420,  1560), cơn	(0.26): [ 1720,  1860), gió	(0.01): [ 2060,  3900), bay	(0.12): [ 4000,  4180), qua	(0.00): [ 4340,  7840)]"
4,/38303339395f3334.npy,"[để	(0.00): [   20,    60), những	(0.02): [   80,   180), suy	(0.00): [  200,   260), tư	(0.00): [  280,   320), hôm	(0.43): [  340,   460), nay	(0.42): [  520,   660), anh	(0.00): [  680,   780), không	(0.15): [  840,  1000), cần	(0.34): [ 1080,  1200), thêm	(0.06): [ 1260,  2400), ngày	(0.38): [ 2500,  2660), ta	(0.21): [ 2720,  2880), yêu	(0.47): [ 2960,  3080), nhau	(0.45): [ 3100,  3260), sao	(0.01): [ 3320,  3500), em	(0.48): [ 3580,  3660), chợt	(0.29): [ 3680,  3800), quên	(0.04): [ 3880,  5480), rồi	(0.18): [ 5560,  5700), buông	(0.12): [ 5780,  5960), đôi	(0.26): [ 5980,  6160), tay	(0.15): [ 6180,  6340), anh	(0.00): [ 6360,  6460), không	(0.34): [ 6520,  6700), còn	(0.48): [ 6760,  6860), em	(0.04): [ 7080,  7600), nếu	(0.03): [ 7680,  8000), biết	(0.40): [ 8040,  8160), trước	(0.27): [ 8260,  8460), có	(0.01): [ 8640,  8840), một	(0.56): [ 8880,  8980), ngày	(0.49): [ 9100,  9260)]"
5,/38313330375f3836.npy,"[biển	(0.16): [   40,   200), xanh	(0.17): [  340,   500), dù	(0.22): [  620,   780), có	(0.18): [  900,  1060), hóa	(0.01): [ 1340,  1680), đá	(0.04): [ 1800,  2280), thì	(0.27): [ 2360,  2520), tình	(0.11): [ 2620,  2900), ta	(0.12): [ 2920,  3080), chẳng	(0.18): [ 3200,  3400), phôi	(0.07): [ 3600,  3800), phai	(0.02): [ 4080,  5280), ngày	(0.54): [ 5340,  5460), mai	(0.47): [ 5500,  5620), mình	(0.78): [ 5640,  5740), cưới	(0.50): [ 5780,  5900), nhau	(0.32): [ 5920,  6080), đi	(0.27): [ 6120,  6240), quê	(0.42): [ 6320,  6440), miền	(0.53): [ 6480,  6580), tây	(0.36): [ 6620,  6720), rộn	(0.18): [ 6760,  6880), vang	(0.46): [ 6900,  7020), tiếng	(0.60): [ 7060,  7220), cười	(0.24): [ 7240,  7560), bà	(0.25): [ 7600,  7740), con	(0.38): [ 7760,  7900), cô	(0.34): [ 7920,  8020), bác	(0.32): [ 8040,  8140), chúc	(0.48): [ 8160,  8300), phúc	(0.45): [ 8320,  8460), cho	(0.40): [ 8500,  8620), đôi	(0.40): [ 8640,  8740), vợ	(0.22): [ 8780,  8900), chồng	(0.63): [ 8920,  9060), mình	(0.63): [ 9080,  9200), trăm	(0.40): [ 9220,  9380), năm	(0.04): [ 9440,  9980), đám	(0.31): [10040, 10220), cưới	(0.51): [10280, 10420), miệt	(0.12): [10440, 10580), vườn	(0.16): [10620, 10940), rước	(0.40): [11020, 11160), dâu	(0.32): [11220, 11380), bằng	(0.65): [11440, 11540), thuyền	(0.11): [11560, 11740), ghe	(0.17): [11760, 11920), mái	(0.35): [12020, 12140), nhà	(0.49): [12160, 12280), tranh	(0.58): [12300, 12440), quả	(0.46): [12600, 12700), tim	(0.11): [12720, 12860), vàng	(0.22): [12880, 13000), hạnh	(0.63): [13060, 13180), phúc	(0.63): [13200, 13320), khi	(0.15): [13340, 13460), dòng	(0.55): [13480, 13600), đời	(0.20): [13640, 13740), bon	(0.36): [13780, 13920), chen	(0.14): [13940, 14280), em	(0.64): [14360, 14420), xinh	(0.49): [14460, 14600), đẹp	(0.48): [14640, 14760), với	(0.41): [14780, 14880), tà	(0.25): [14920, 15000), áo	(0.15): [15020, 15160), cưới	(0.47): [15180, 15340), anh	(0.70): [15480, 15560), vest	(0.09): [15580, 15720), đen	(0.20): [15760, 15900), tay	(0.05): [15920, 16020), em	(0.65): [16060, 16120), cầm	(0.47): [16180, 16300), bông	(0.46): [16360, 16500), ta	(0.26): [16620, 16720), bên	(0.57): [16760, 16860), nhau	(0.65): [16900, 17020), vẽ	(0.03): [17040, 17180), bao	(0.67): [17220, 17300), hạnh	(0.65): [17340, 17460), phúc	(0.24): [17520, 17840), mà	(0.33): [17880, 18000), bao	(0.47): [18040, 18160), người	(0.76): [18200, 18320), thầm	(0.44): [18340, 18500), mong	(0.15): [18540, 18940), vợ	(0.17): [19000, 19140), anh	(0.58): [19200, 19300), là	(0.38): [19340, 19440), cô	(0.23): [19460, 19600), gái	(0.00): [19620, 19720), hiền	(0.21): [19780, 20120), mộc	(0.34): [20200, 20320), mạc	(0.15): [20340, 20460), chẳng	(0.62): [20500, 20640), kiêu	(0.37): [20660, 20780), sa	(0.10): [20880, 21120), hãy	(0.45): [21160, 21260), tin	(0.36): [21320, 21440), anh	(0.75): [21520, 21600), là	(0.49): [21660, 21740), nơi	(0.54): [21780, 21880), tin	(0.36): [21920, 22040), cậy	(0.21): [22060, 22200)]"
6,/38303932325f3837.npy,"[thôi	(0.26): [   60,   180), dàn	(0.15): [  220,   320), nhạc	(0.52): [  380,   520), mày	(0.47): [  580,   700), tắt	(0.17): [  760,  1040), đi	(0.09): [ 1120,  1560), tui	(0.31): [ 1640,  1780), lấy	(0.38): [ 1820,  1960), ấm	(0.36): [ 2020,  2080), pha	(0.12): [ 2180,  2300), nước	(0.59): [ 2360,  2480), trà	(0.02): [ 2600,  2780), anh	(0.73): [ 2960,  3040), em	(0.65): [ 3160,  3220), về	(0.15): [ 3280,  3420), đường	(0.18): [ 3440,  3620), tắt	(0.16): [ 3640,  3900), đi	(0.27): [ 4000,  4140), vậy	(0.30): [ 4360,  4500), nghen	(0.06): [ 4580,  5340), nào	(0.10): [ 5460,  5620), mình	(0.21): [ 5800,  5980), cùng	(0.09): [ 6160,  6660), cùng	(0.29): [ 6740,  6920), nâng	(0.25): [ 7080,  7280), ly	(0.03): [ 7420,  7600), lên	(0.00): [ 7640,  7740), ta	(0.23): [ 7800,  7940), đâu	(0.57): [ 7980,  8080), có	(0.39): [ 8160,  8260), say	(0.22): [ 8360,  8540), chơi	(0.40): [ 8720,  8900), tới	(0.22): [ 9060,  9240), ngày	(0.40): [ 9400,  9560), mai	(0.28): [ 9660,  9860), luôn	(0.07): [10040, 11080), giờ	(0.21): [11200, 11380), mình	(0.21): [11560, 11740), cùng	(0.08): [11940, 12460), cùng	(0.30): [12520, 12700), nâng	(0.32): [12880, 13040), ly	(0.03): [13200, 13380), lên	(0.01): [13420, 13500), lẹ	(0.11): [13560, 13720), lên	(0.43): [13740, 13860), mấy	(0.47): [13920, 14040), cha	(0.14): [14140, 14420), vợ	(0.15): [14500, 14680), tao	(0.21): [14840, 15120), lại	(0.32): [15180, 15360), nó	(0.19): [15420, 15560), la	(0.14): [15740, 15920), bởi	(0.00): [16140, 16320), vì	(0.01): [16380, 16800), đời	(0.05): [16820, 17300), còn	(0.42): [17360, 17480), nhiều	(0.33): [17580, 17860), chuyện	(0.44): [17940, 18140), buồn	(0.19): [18280, 18580), phiền	(0.12): [18640, 19280), hôm	(0.41): [19360, 19500), nay	(0.59): [19520, 19620), cứ	(0.24): [19680, 19840), chơi	(0.34): [19900, 20080), rồi	(0.30): [20260, 20420), mai	(0.21): [20620, 20880), mình	(0.21): [20940, 21100), góp	(0.24): [21160, 21320), sau	(0.08): [21520, 22180), uống	(0.10): [22300, 22380), hết	(0.01): [22420, 22560), kết	(0.02): [22580, 22720), này	(0.07): [22820, 23240), ừ	(0.00): [23440, 23680), rồi	(0.19): [23760, 24060), thì	(0.36): [24120, 24280)]"
7,/37323739315f30.npy,"[làn	(0.19): [ 6280,  6480), tóc	(0.33): [ 6660,  6840), rối	(0.11): [ 7000,  7200), bờ	(0.07): [ 7380,  7540), môi	(0.25): [ 7680,  7860), khô	(0.11): [ 8020,  8340), hàng	(0.25): [ 8420,  8600), mi	(0.14): [ 8900,  9100), buông	(0.26): [ 9200,  9380), mắt	(0.27): [ 9460,  9680), đen	(0.30): [ 9720,  9880), thật	(0.32): [10000, 10240), buồn	(0.22): [10300, 10640), ngày	(0.55): [10760, 10900), qua	(0.24): [11160, 11400), ngày	(0.22): [11460, 11820), đợi	(0.13): [11900, 12220), mong	(0.43): [12300, 12460), gì	(0.00): [12580, 12880), cần	(0.14): [13020, 13200), nhiều	(0.38): [13400, 13620), lắm	(0.36): [13720, 13880), những	(0.30): [14000, 14240), yêu	(0.57): [14340, 14440), thương	(0.70): [14580, 14740), ngọt	(0.11): [14900, 15220), ngào	(0.12): [15280, 15900), trái	(0.27): [16020, 16220), tim	(0.00): [16320, 16480), em	(0.66): [16660, 16720), thôi	(0.31): [16900, 17080), lặng	(0.37): [17200, 17360), thầm	(0.09): [17560, 18160), có	(0.10): [18320, 18700), ai	(0.06): [19060, 19720), cầm	(0.18): [19860, 20060), tay	(0.33): [20300, 20480), em	(0.66): [20780, 20840), gọi	(0.09): [21060, 21300), tên	(0.25): [21440, 21600), em	(0.99): [21860, 21900)]"
8,/38323039355f3432.npy,"[gọi	(0.49): [   80,   200), tên	(0.23): [  280,   440), các	(0.31): [  500,   680), anh	(0.25): [  820,  1060), sao	(0.42): [ 1120,  1260), gọi	(0.41): [ 1360,  1500), mãi	(0.27): [ 1600,  1760), anh	(0.74): [ 1820,  1900), ơi	(0.63): [ 2080,  2140), đất	(0.32): [ 2200,  2380), nước	(0.19): [ 2420,  2600), thấy	(0.40): [ 2640,  2800), đau	(0.42): [ 2860,  3000), lòng	(0.22): [ 3080,  3440), mai	(0.34): [ 3520,  3680), này	(0.49): [ 3720,  3840), ai	(0.66): [ 4020,  4080), nhắc	(0.56): [ 4140,  4280), lại	(0.42): [ 4380,  4520), rào	(0.25): [ 4580,  4740), trăng	(0.19): [ 4820,  5180), bữa	(0.18): [ 5260,  5400), ấy	(0.41): [ 5520,  5580), lũ	(0.27): [ 5660,  5780), to	(0.24): [ 5880,  6040), đất	(0.42): [ 6080,  6220), san	(0.22): [ 6280,  6440), bằng	(0.22): [ 6520,  6860), mười	(0.39): [ 6940,  7080), ba	(0.28): [ 7140,  7280), chiến	(0.28): [ 7340,  7480), sĩ	(0.06): [ 7580,  7900), đầu	(0.23): [ 7980,  8120), mũ	(0.30): [ 8200,  8320), cối	(0.43): [ 8420,  8540), để	(0.28): [ 8620,  8760), đời	(0.14): [ 8840,  9020), thương	(0.41): [ 9060,  9220), tiếc	(0.45): [ 9280,  9400), mãi	(0.39): [ 9520,  9660), trăm	(0.40): [ 9720,  9880), năm	(0.09): [10000, 10500), bố	(0.23): [10560, 10720), đi	(0.28): [10800, 10920), làm	(0.20): [11020, 11320), nhiệm	(0.50): [11400, 11580), vụ	(0.11): [11680, 12020), ngày	(0.57): [12080, 12220), mai	(0.37): [12280, 12440), nắng	(0.56): [12500, 12640), lên	(0.36): [12720, 12880), bố	(0.25): [12980, 13100), lại	(0.42): [13160, 13300), về	(0.12): [13400, 13740), ánh	(0.57): [13880, 13960), mắt	(0.37): [14020, 14180), con	(0.30): [14220, 14420), thơ	(0.13): [14460, 14600), mỏi	(0.11): [14660, 14840), mòn	(0.13): [14880, 15040), đợi	(0.46): [15100, 15220), mong	(0.49): [15300, 15460), bố	(0.21): [15520, 15660), đi	(0.00): [15700, 15840), lần	(0.43): [15900, 16040), này	(0.49): [16120, 16240), sao	(0.42): [16340, 16480), lâu	(0.36): [16540, 16700), thế	(0.12): [16800, 17280), ngày	(0.35): [17400, 17580), các	(0.45): [17640, 17760), anh	(0.75): [17920, 18000), bước	(0.46): [18060, 18180), ra	(0.21): [18280, 18460), đi	(0.12): [18520, 18860), vẫy	(0.31): [18940, 19060), tay	(0.41): [19160, 19300), các	(0.46): [19380, 19500), anh	(0.74): [19640, 19720), chào	(0.26): [19800, 19980), đồng	(0.36): [20020, 20180), chí	(0.11): [20260, 20600), ngày	(0.53): [20680, 20820), quay	(0.62): [20900, 21020), trở	(0.29): [21080, 21280), về	(0.20): [21300, 21500), đồng	(0.48): [21520, 21680), đội	(0.45): [21740, 21860), còn	(0.46): [21960, 22080), đấy	(0.28): [22180, 22320), mà	(0.40): [22380, 22480), sao	(0.59): [22540, 22640)]"
9,/37323233365f3730.npy,"[là	(0.08): [  240,   500), những	(0.60): [  600,   760), điều	(0.45): [  920,  1060), nhỏ	(0.25): [ 1120,  1280), nhoi	(0.11): [ 1420,  1940), thường	(0.41): [ 2040,  2200), ngày	(0.10): [ 2360,  3100), mà	(0.39): [ 3220,  3320), tôi	(0.19): [ 3400,  3720), tìm	(0.20): [ 3840,  4040), mãi	(0.20): [ 4340,  4580), nơi	(0.06): [ 4600,  4740), phù	(0.22): [ 4800,  4960), du	(0.09): [ 5100,  5300), bỗng	(0.36): [ 5640,  5840), thấy	(0.10): [ 5960,  6220), yêu	(0.36): [ 6420,  6580), đời	(0.22): [ 6660,  6820), quá	(0.00): [ 6960,  7560), yêu	(0.58): [ 7720,  7820), ngày	(0.05): [ 8020,  8220), xanh	(0.15): [ 8360,  8480), nắng	(0.44): [ 8540,  8680), vàng	(0.08): [ 8820,  9340), bỗng	(0.22): [ 9420,  9740), thấy	(0.38): [ 9820, 10020), yêu	(0.57): [10200, 10300), thời	(0.39): [10340, 10540), gian	(0.15): [10660, 11180), hạnh	(0.40): [11280, 11480), phúc	(0.30): [11680, 11940), đến	(0.36): [12000, 12140), nhẹ	(0.37): [12220, 12380), nhàng	(0.21): [12500, 12960), yêu	(0.46): [13180, 13300), sao	(0.14): [13580, 13800), những	(0.65): [13840, 13980), tiếng	(0.36): [14020, 14280), cười	(0.38): [14340, 14540), và	(0.12): [14920, 15080), những	(0.54): [15180, 15360), khi	(0.35): [15680, 15840), bên	(0.36): [15880, 16040), người	(0.16): [16140, 16740), ngày	(0.30): [16820, 17020), chẳng	(0.32): [17240, 17420), còn	(0.19): [17580, 17680), lo	(0.15): [17720, 17940), toan	(0.14): [18020, 18480), mệt	(0.17): [18640, 18880), nhoài	(0.45): [18940, 19140)]"
