,Path,Output
0,/37333433375f3638.npy,"[chúng	(0.48): [  140,   320), ta	(0.07): [  480,  1040), đi	(0.20): [ 1160,  1320), về	(0.22): [ 1400,  1580), nơi	(0.27): [ 1660,  1840), rất	(0.10): [ 1980,  2160), xa	(0.03): [ 2380,  3440), người	(0.22): [ 3600,  3800), về	(0.06): [ 3860,  4020), một	(0.36): [ 4100,  4240), phương	(0.29): [ 4340,  4700), biết	(0.48): [ 4800,  4960), đến	(0.36): [ 5040,  5200), nơi	(0.32): [ 5280,  5460), nào	(0.18): [ 5560,  5880), gặp	(0.42): [ 5980,  6120), lại	(0.06): [ 6340,  7360), rồi	(0.16): [ 7520,  7880), mai	(0.29): [ 8000,  8200), đây	(0.15): [ 8260,  8640), nếu	(0.26): [ 8700,  8860), trên	(0.43): [ 8940,  9120), đường	(0.52): [ 9200,  9380), đời	(0.30): [ 9460,  9660), thấy	(0.12): [ 9760,  9940), nhau	(0.09): [10220, 11060), hãy	(0.37): [11120, 11280), nói	(0.26): [11400, 11600), em	(0.48): [11720, 11780), nghe	(0.45): [11860, 12020), sao	(0.29): [12140, 12320), anh	(0.60): [12460, 12560), đành	(0.38): [12620, 12820), lòng	(0.55): [12880, 13020), bỏ	(0.08): [13120, 13320), đi	(0.05): [13560, 14340), tình	(0.42): [14460, 14640), đành	(0.38): [14920, 15100), dở	(0.01): [15340, 15540), dang	(0.33): [15800, 15960), thôi	(0.01): [16140, 19860), ngày	(0.46): [20220, 20380), tình	(0.50): [20460, 20620), yêu	(0.59): [20760, 20860), tìm	(0.22): [20920, 21060), đến	(0.13): [21200, 21380), chúng	(0.47): [21620, 21820), ta	(0.07): [21920, 22520), em	(0.52): [22760, 22820), nào	(0.33): [22900, 23080), đâu	(0.17): [23160, 23480), có	(0.27): [23580, 23720), hay	(0.25): [23860, 24040), ngày	(0.00): [24060, 24960), mình	(0.33): [25100, 25280), xa	(0.23): [25560, 25720), nhau	(0.50): [25820, 25980)]"
1,/37323737365f313036.npy,"[chờ	(0.03): [   20,   120), anh	(0.78): [  320,   380), theo	(0.34): [  520,   700), với	(0.11): [  920,  1100), ô	(0.00): [ 1860,  1920), là	(0.02): [ 1980,  2100), ô	(0.01): [ 2260,  2340), cha	(0.10): [ 2360,  2560), cha	(0.09): [ 2580,  2720), cha	(0.04): [ 2800,  2960), cha	(0.08): [ 3040,  3200), cha	(0.01): [ 3280,  3840), cha	(0.08): [ 4120,  4220)]"
2,/37363539395f3237.npy,"[của	(0.07): [   20,   280), tiếng	(0.15): [  300,   460), cười	(0.25): [  580,   720), trên	(0.13): [  880,  1100), môi	(0.06): [ 1440,  1920), ấm	(0.03): [ 2080,  2840), áp	(0.05): [ 2880,  2940), như	(0.06): [ 3180,  3780), mặt	(0.10): [ 3840,  4040), trời	(0.02): [ 4280,  5740), tan	(0.10): [ 6220,  6480), đi	(0.15): [ 6700,  6920), bao	(0.28): [ 7160,  7340), giá	(0.21): [ 7520,  7720), băng	(0.01): [ 8180, 10880), ánh	(0.62): [11140, 11200), mắt	(0.29): [11520, 11700), em	(0.92): [12120, 12160), như	(0.28): [12460, 12660), xua	(0.05): [12920, 13080), màn	(0.07): [13200, 13600), đêm	(0.00): [13680, 15520), đưa	(0.08): [15780, 16040), anh	(0.32): [16180, 16280), đi	(0.26): [16480, 16620), qua	(0.32): [16780, 16940), bao	(0.27): [17040, 17240), đau	(0.20): [17420, 17580), thương	(0.15): [17700, 18380), nắm	(0.26): [18660, 18840), tay	(0.29): [19120, 19320), anh	(0.08): [19720, 20460), đi	(0.11): [20520, 20700), cùng	(0.23): [20820, 21120), anh	(0.32): [21420, 21480)]"
3,/37323739315f3539.npy,"[yêu	(0.35): [   80,   180), thương	(0.37): [  280,   460), kia	(0.33): [  580,   740), mong	(0.48): [  880,  1040), manh	(0.40): [ 1140,  1300), tựa	(0.17): [ 1420,  1560), cơn	(0.22): [ 1720,  1860), gió	(0.01): [ 2060,  3880), bay	(0.10): [ 4000,  4180), qua	(0.00): [ 4340,  8160)]"
4,/38303339395f3334.npy,"[để	(0.00): [   20,    60), những	(0.10): [   80,   180), suy	(0.02): [  200,   260), tư	(0.00): [  280,   320), hôm	(0.28): [  340,   460), nay	(0.40): [  520,   660), anh	(0.08): [  720,   800), không	(0.13): [  860,  1020), cần	(0.11): [ 1080,  1220), thêm	(0.01): [ 1260,  2260), ngày	(0.04): [ 2440,  2720), ta	(0.05): [ 2740,  2900), yêu	(0.37): [ 2960,  3080), nhau	(0.38): [ 3100,  3260), sao	(0.02): [ 3340,  3500), em	(0.39): [ 3580,  3680), chợt	(0.19): [ 3700,  3820), quên	(0.03): [ 3880,  5280), rồi	(0.06): [ 5560,  5720), buông	(0.12): [ 5780,  5940), đôi	(0.30): [ 6000,  6160), tay	(0.19): [ 6180,  6340), anh	(0.02): [ 6420,  6480), không	(0.13): [ 6540,  6720), còn	(0.25): [ 6740,  6900), em	(0.07): [ 7080,  7620), nếu	(0.00): [ 7680,  7880), biết	(0.01): [ 8060,  8420), trước	(0.02): [ 8440,  8600), có	(0.01): [ 8660,  8840), một	(0.48): [ 8880,  8980), ngày	(0.40): [ 9080,  9260)]"
5,/38313330375f3836.npy,"[biển	(0.20): [   60,   200), xanh	(0.27): [  340,   500), dù	(0.18): [  620,   780), có	(0.17): [  900,  1100), hóa	(0.02): [ 1580,  1660), đá	(0.05): [ 1800,  2280), thì	(0.16): [ 2360,  2500), tình	(0.22): [ 2620,  2800), ta	(0.16): [ 2920,  3080), chẳng	(0.17): [ 3220,  3400), phôi	(0.15): [ 3600,  3800), phai	(0.02): [ 4080,  5280), ngày	(0.65): [ 5320,  5440), mai	(0.47): [ 5500,  5620), mình	(0.19): [ 5640,  5740), cưới	(0.51): [ 5780,  5900), nhau	(0.50): [ 5920,  6060), đi	(0.22): [ 6100,  6220), quê	(0.41): [ 6320,  6440), miền	(0.56): [ 6480,  6600), tây	(0.44): [ 6620,  6740), rộn	(0.18): [ 6760,  6880), vang	(0.53): [ 6900,  7020), tiếng	(0.65): [ 7060,  7200), cười	(0.25): [ 7220,  7540), bà	(0.24): [ 7600,  7740), con	(0.47): [ 7760,  7880), cô	(0.33): [ 7920,  8020), bác	(0.29): [ 8040,  8120), chúc	(0.43): [ 8160,  8300), phúc	(0.16): [ 8320,  8480), cho	(0.28): [ 8500,  8620), đôi	(0.37): [ 8640,  8740), vợ	(0.21): [ 8780,  8900), chồng	(0.66): [ 8920,  9060), mình	(0.55): [ 9080,  9200), trăm	(0.46): [ 9220,  9360), năm	(0.05): [ 9440,  9960), đám	(0.32): [10040, 10220), cưới	(0.47): [10280, 10420), miệt	(0.35): [10440, 10600), vườn	(0.15): [10620, 10980), rước	(0.36): [11020, 11180), dâu	(0.32): [11220, 11380), bằng	(0.56): [11440, 11560), thuyền	(0.14): [11580, 11740), ghe	(0.15): [11760, 11920), mái	(0.36): [12020, 12140), nhà	(0.48): [12160, 12280), tranh	(0.56): [12300, 12440), quả	(0.36): [12600, 12700), tim	(0.12): [12720, 12860), vàng	(0.39): [12880, 13020), hạnh	(0.66): [13060, 13180), phúc	(0.65): [13200, 13320), khi	(0.10): [13340, 13460), dòng	(0.52): [13480, 13620), đời	(0.20): [13640, 13740), bon	(0.39): [13780, 13920), chen	(0.19): [13940, 14140), em	(0.49): [14340, 14420), xinh	(0.53): [14460, 14600), đẹp	(0.47): [14640, 14760), với	(0.32): [14780, 14880), tà	(0.25): [14920, 15000), áo	(0.14): [15020, 15160), cưới	(0.39): [15180, 15380), anh	(0.73): [15480, 15560), vest	(0.11): [15580, 15740), đen	(0.30): [15760, 15900), tay	(0.21): [15920, 16020), em	(0.66): [16060, 16120), cầm	(0.40): [16180, 16300), bông	(0.42): [16360, 16500), ta	(0.34): [16620, 16720), bên	(0.59): [16760, 16860), nhau	(0.56): [16900, 17040), vẽ	(0.19): [17060, 17160), bao	(0.53): [17220, 17320), hạnh	(0.56): [17340, 17480), phúc	(0.25): [17520, 17820), mà	(0.35): [17900, 18000), bao	(0.41): [18040, 18180), người	(0.66): [18200, 18340), thầm	(0.45): [18360, 18500), mong	(0.18): [18560, 18920), vợ	(0.14): [19000, 19140), anh	(0.47): [19180, 19300), là	(0.49): [19320, 19400), cô	(0.25): [19460, 19600), gái	(0.00): [19620, 19760), hiền	(0.20): [19780, 20140), mộc	(0.30): [20200, 20320), mạc	(0.26): [20340, 20460), chẳng	(0.62): [20500, 20640), kiêu	(0.27): [20660, 20820), sa	(0.10): [20880, 21140), hãy	(0.48): [21160, 21260), tin	(0.46): [21320, 21440), anh	(0.74): [21520, 21600), là	(0.48): [21660, 21740), nơi	(0.34): [21780, 21880), tin	(0.43): [21900, 22020), cậy	(0.24): [22080, 22180)]"
6,/38303932325f3837.npy,"[thôi	(0.09): [   60,   180), dàn	(0.03): [  200,   320), nhạc	(0.39): [  380,   540), mày	(0.46): [  580,   700), tắt	(0.16): [  760,  1040), đi	(0.09): [ 1120,  1540), tui	(0.23): [ 1640,  1800), lấy	(0.36): [ 1820,  1940), ấm	(0.06): [ 2040,  2100), pha	(0.20): [ 2160,  2300), nước	(0.23): [ 2360,  2500), trà	(0.04): [ 2600,  2780), anh	(0.17): [ 2960,  3060), em	(0.93): [ 3160,  3200), về	(0.16): [ 3280,  3420), đường	(0.29): [ 3440,  3620), tắt	(0.13): [ 3640,  3880), đi	(0.13): [ 4000,  4280), vậy	(0.37): [ 4360,  4480), nghen	(0.09): [ 4580,  5220), nào	(0.14): [ 5440,  5600), mình	(0.41): [ 5800,  5960), cùng	(0.12): [ 6160,  6660), cùng	(0.32): [ 6740,  6920), nâng	(0.21): [ 7100,  7260), ly	(0.11): [ 7420,  7580), lên	(0.21): [ 7600,  7740), ta	(0.07): [ 7800,  7940), đâu	(0.25): [ 7980,  8140), có	(0.37): [ 8160,  8260), say	(0.17): [ 8360,  8640), chơi	(0.41): [ 8720,  8900), tới	(0.21): [ 9060,  9240), ngày	(0.48): [ 9400,  9560), mai	(0.36): [ 9660,  9820), luôn	(0.07): [10040, 11100), giờ	(0.24): [11200, 11380), mình	(0.39): [11580, 11740), cùng	(0.10): [11940, 12460), cùng	(0.32): [12520, 12700), nâng	(0.25): [12880, 13040), ly	(0.11): [13200, 13360), lên	(0.27): [13380, 13520), lẹ	(0.04): [13580, 13720), lên	(0.34): [13740, 13860), mấy	(0.47): [13920, 14040), cha	(0.16): [14140, 14420), vợ	(0.12): [14500, 14680), tao	(0.20): [14840, 15140), lại	(0.37): [15180, 15340), nó	(0.21): [15400, 15560), la	(0.03): [15740, 16480), bởi	(0.01): [16540, 16680), vì	(0.01): [16820, 17000), đời	(0.14): [17020, 17280), còn	(0.30): [17340, 17480), nhiều	(0.30): [17600, 17880), chuyện	(0.41): [17940, 18140), buồn	(0.29): [18280, 18440), phiền	(0.08): [18640, 19280), hôm	(0.40): [19360, 19500), nay	(0.42): [19520, 19660), cứ	(0.09): [19680, 19780), chơi	(0.10): [19900, 20200), rồi	(0.15): [20260, 20440), mai	(0.22): [20620, 20880), mình	(0.50): [20940, 21080), góp	(0.24): [21160, 21320), sau	(0.07): [21520, 22180), uống	(0.01): [22320, 22400), hết	(0.00): [22420, 22540), kết	(0.02): [22580, 22720), này	(0.12): [22820, 23200), ừ	(0.02): [23440, 23660), rồi	(0.23): [23760, 23940), thì	(0.21): [24120, 24260)]"
7,/37323739315f30.npy,"[làn	(0.09): [ 6260,  6620), tóc	(0.33): [ 6660,  6840), rối	(0.13): [ 7000,  7180), bờ	(0.00): [ 7380,  7540), môi	(0.14): [ 7700,  8000), khô	(0.19): [ 8040,  8200), hàng	(0.20): [ 8460,  8620), mi	(0.15): [ 8900,  9120), buông	(0.51): [ 9200,  9360), mắt	(0.26): [ 9460,  9680), đen	(0.26): [ 9720,  9900), thật	(0.33): [10000, 10240), buồn	(0.16): [10300, 10660), ngày	(0.41): [10740, 10900), qua	(0.36): [11160, 11320), ngày	(0.21): [11460, 11820), đợi	(0.22): [11900, 12100), mong	(0.43): [12300, 12460), gì	(0.09): [12580, 12920), cần	(0.13): [13020, 13200), nhiều	(0.35): [13420, 13620), lắm	(0.42): [13720, 13860), những	(0.35): [14000, 14160), yêu	(0.57): [14340, 14440), thương	(0.37): [14580, 14760), ngọt	(0.42): [14900, 15060), ngào	(0.11): [15280, 15900), trái	(0.39): [16020, 16200), tim	(0.37): [16320, 16460), em	(0.65): [16680, 16740), thôi	(0.43): [16900, 17080), lặng	(0.31): [17200, 17360), thầm	(0.10): [17560, 18180), có	(0.09): [18320, 18760), ai	(0.04): [19060, 19720), cầm	(0.10): [19860, 20260), tay	(0.33): [20300, 20480), em	(0.66): [20760, 20820), gọi	(0.25): [21060, 21220), tên	(0.25): [21440, 21600), em	(0.98): [21860, 21900)]"
8,/38323039355f3432.npy,"[gọi	(0.48): [   80,   200), tên	(0.34): [  280,   420), các	(0.38): [  500,   620), anh	(0.23): [  820,  1080), sao	(0.37): [ 1120,  1280), gọi	(0.33): [ 1360,  1500), mãi	(0.22): [ 1600,  1740), anh	(0.37): [ 1820,  1980), ơi	(0.63): [ 2100,  2140), đất	(0.31): [ 2200,  2380), nước	(0.22): [ 2440,  2580), thấy	(0.51): [ 2660,  2780), đau	(0.36): [ 2840,  3000), lòng	(0.21): [ 3080,  3460), mai	(0.41): [ 3520,  3660), này	(0.42): [ 3720,  3860), ai	(0.49): [ 4000,  4080), nhắc	(0.57): [ 4140,  4280), lại	(0.41): [ 4380,  4520), rào	(0.28): [ 4600,  4740), trăng	(0.21): [ 4820,  5160), bữa	(0.13): [ 5240,  5380), ấy	(0.38): [ 5520,  5580), lũ	(0.02): [ 5640,  5820), to	(0.22): [ 5880,  6060), đất	(0.48): [ 6100,  6220), san	(0.19): [ 6300,  6460), bằng	(0.19): [ 6520,  6900), mười	(0.56): [ 6960,  7080), ba	(0.33): [ 7140,  7260), chiến	(0.44): [ 7320,  7480), sĩ	(0.09): [ 7580,  7920), đầu	(0.39): [ 7980,  8120), mũ	(0.13): [ 8200,  8340), cối	(0.33): [ 8420,  8580), để	(0.28): [ 8620,  8760), đời	(0.26): [ 8840,  8960), thương	(0.21): [ 9060,  9240), tiếc	(0.28): [ 9280,  9420), mãi	(0.46): [ 9520,  9640), trăm	(0.33): [ 9720,  9880), năm	(0.04): [ 9980, 10500), bố	(0.23): [10560, 10720), đi	(0.33): [10800, 10920), làm	(0.18): [11020, 11340), nhiệm	(0.49): [11400, 11580), vụ	(0.12): [11700, 12020), ngày	(0.56): [12080, 12220), mai	(0.33): [12280, 12460), nắng	(0.55): [12500, 12640), lên	(0.40): [12720, 12860), bố	(0.30): [12980, 13100), lại	(0.43): [13160, 13300), về	(0.11): [13400, 13720), ánh	(0.63): [13880, 13960), mắt	(0.49): [14020, 14140), con	(0.43): [14220, 14360), thơ	(0.27): [14420, 14580), mỏi	(0.21): [14660, 14780), mòn	(0.13): [14880, 15040), đợi	(0.26): [15080, 15220), mong	(0.49): [15300, 15460), bố	(0.27): [15520, 15660), đi	(0.28): [15700, 15840), lần	(0.42): [15900, 16040), này	(0.49): [16120, 16240), sao	(0.49): [16340, 16460), lâu	(0.37): [16560, 16720), thế	(0.11): [16800, 17320), ngày	(0.47): [17400, 17560), các	(0.48): [17640, 17760), anh	(0.75): [17920, 18000), bước	(0.45): [18060, 18200), ra	(0.28): [18300, 18440), đi	(0.11): [18520, 18880), vẫy	(0.19): [18940, 19060), tay	(0.37): [19140, 19300), các	(0.47): [19380, 19500), anh	(0.75): [19640, 19720), chào	(0.36): [19800, 19960), đồng	(0.54): [20020, 20160), chí	(0.14): [20260, 20620), ngày	(0.42): [20680, 20820), quay	(0.64): [20900, 21020), trở	(0.42): [21080, 21220), về	(0.22): [21300, 21480), đồng	(0.49): [21520, 21680), đội	(0.46): [21740, 21860), còn	(0.50): [21960, 22080), đấy	(0.28): [22180, 22320), mà	(0.50): [22380, 22460), sao	(0.60): [22540, 22640)]"
9,/37323233365f3730.npy,"[là	(0.09): [  220,   480), những	(0.39): [  620,   860), điều	(0.45): [  920,  1060), nhỏ	(0.32): [ 1120,  1280), nhoi	(0.11): [ 1420,  1960), thường	(0.32): [ 2060,  2220), ngày	(0.09): [ 2360,  3140), mà	(0.39): [ 3220,  3320), tôi	(0.19): [ 3400,  3720), tìm	(0.21): [ 3840,  4060), mãi	(0.03): [ 4360,  4600), nơi	(0.05): [ 4620,  4760), phù	(0.01): [ 4800,  4960), du	(0.08): [ 5100,  5280), bỗng	(0.28): [ 5640,  5840), thấy	(0.18): [ 5940,  6160), yêu	(0.57): [ 6420,  6520), đời	(0.15): [ 6660,  6820), quá	(0.03): [ 6960,  7540), yêu	(0.58): [ 7720,  7820), ngày	(0.23): [ 8020,  8220), xanh	(0.15): [ 8360,  8480), nắng	(0.17): [ 8520,  8800), vàng	(0.09): [ 8820,  9340), bỗng	(0.18): [ 9420,  9740), thấy	(0.35): [ 9820, 10020), yêu	(0.57): [10200, 10300), thời	(0.43): [10360, 10540), gian	(0.12): [10660, 11180), hạnh	(0.40): [11280, 11480), phúc	(0.39): [11660, 11860), đến	(0.19): [11980, 12140), nhẹ	(0.40): [12220, 12360), nhàng	(0.12): [12500, 12960), yêu	(0.47): [13180, 13300), sao	(0.14): [13580, 13780), những	(0.56): [13840, 14000), tiếng	(0.35): [14020, 14280), cười	(0.39): [14340, 14540), và	(0.15): [14940, 15100), những	(0.54): [15200, 15380), khi	(0.40): [15680, 15820), bên	(0.41): [15880, 16020), người	(0.16): [16140, 16740), ngày	(0.12): [16840, 17020), chẳng	(0.40): [17240, 17420), còn	(0.20): [17580, 17680), lo	(0.15): [17720, 17960), toan	(0.14): [18020, 18520), mệt	(0.14): [18620, 18800), nhoài	(0.52): [18940, 19120)]"
