,Unnamed: 0,Wav_path,Lyric_path
676,676,38303237335f30.wav,Emvẫnkhôngthểhiểunỗi Tạisaomìnhcốchấp Biếtlàkhôngaisánhbằng Nhưngsaokhoảngtrốngvẫncốlấp Mộtthángrồihảanh Thờigiantrôinhanhthật Vẫncứchờvàcứđếm Nhữngthứmàemđãmất Cũngchỉcóanhlàquantrọngnhất Bâygiờemmớihiểubiết Khinàomớihếtđauhả Cũngchỉlàgiómộtchiềuthoángqua
384,384,39323733325f3330.wav,Phốcũhoaphaimàu Mắtnhìnnhaukhôngnói Ngỡngàngnhưmớiquen Hãynóimộtcâu Chovơicạnsầu Quênđicuộcđời Duyêntakhôngthấm Cũngthươnglỡlàng Emkhôngtráchanh Đêmđêmemvẫnhát
371,371,3130303933365f3333.wav,"Giảiquyếtnhữngrắcrối Từngườianhngốcnghếch Nobitathườngnóidối CóchốithìsaođượcDoraemita... Đểtabắtđược Thìcoichừngnha Davàngvàng,taiđỏđỏ Cao1Mchiếcđuôithìnhỏnhỏ NhữngviệcnàoDoremon"
814,814,3133363334315f3438.wav,Khihoànghôn Vỗgiấcxuânmuộnvề Trênmôihồng
153,153,37313236335f3133.wav,Tôikhôngphảilà CôngtửBạcLiêu Màtôiđây Chỉlànghệsỹđatình ChotôiyêucôgáiBạcLiêu Khôngđẹpnhưtiên
1024,1024,39323433325f3336.wav,Chỉngheđượclờitráitim Chẳngbiếtmìnhlàai Đếnmộtngàyngười Phảichịubaođớnđau Hãyquaylại Anhvẫnluônởngayphíasau Dùcảthếgiớikia Quênmấtem Anhvẫnởđây Tựavàovaianh Vànướcmắtlăndài Nấclênnhưđứatrẻ
378,378,38313136385f313434.wav,MáuNezukocóthểbốccháy Vàkiểmsoátnó Mộtcáchtinhnhuệ
560,560,37323332315f3534.wav,Nghiêngngảvìem Dùsóngđãlàmanh Nghiêngngảvìem
583,583,38313237335f3339.wav,Ốiquáxáphiềnchạytớichạylui Thôicốlênviệcgìmàkhó Nếukhóquáchớcóbỏqua Tahãyvuivìmìnhcònhát Tahãyvuivìmìnhcòncười Cólúchếttiền Đãthếcònxui Mộtngàymặtmàycaucó Ốiquáxáphiềnchạytớichạylui Thôicốlênviệcgìmàkhó Nếukhóquáchớcóbỏqua Tahãyvuivìmìnhcònhát Tahãyvuivìmìnhcòncười
865,865,38303839365f3236.wav,Rượuthơmnồngnàotauốngsay Mộtlynữachúcchoduyêntình Mãixanhtươisuốtcuộcđời Vẫnbênnhaunhưcauvớitrầu Nàykhănđốngđộitóc Nàyđôiguốcmộcmới Chiếcáodàicàinhiềuhoaxinh Mừngemnhéhạnhphúc
563,563,37323834385f30.wav,Mùaxuânsangtachúcnhau Baoướcmuốnbaohyvọng Cùngrủnhaumaubayvề Khắptrênmôicườixinhtươi Tachúcnhaunhữnglờichúclành Ướcmongtếtnày
919,919,3130333531355f323234.wav,Cầmtaynhauhátvuichung Hômsaumìnhnhé Hátcùngthủđô
936,936,38313834385f3437.wav,Anhđâycònthương Saoemkhôngquayvề Còngiọtsươngđọnglạitrêncỏlá Ômnỗikhổcảtrămbề Emtheongườitavềnơixứxa Nơicónhữngthứxahoavậtchất Vùngquênghèolẻbóngriênganh Bàntaytrắngvàđôichânđất Anhchỉtráchlàtráchôngtrời Tráchtạisauchotađâygặpnhau Bắthaitakhôngchungmộtlối
556,556,37313730305f3237.wav,Ngườiđixacónhớ Lànhớaingồitrôngcánhchimtrời Saochẳngthấyđâu
755,755,37333234315f3135.wav,Cuốixóm Bỏlạidòngsôngxưa Haiđứavẫn Hẹnhò Bỏlạitìnhem Trênbếnvắng Đónanhvề Hòơi Chínnhánhsông Phùsa Mùu Conbướmđặng Quayvề Vềđâu
1049,1049,38303737345f3330.wav,"Tuổithânphátkhóc Thứctrắngđêmkhuya Chẳngdámgọiđiệnvìnhớnhung Phảicốdặnlòngkiếmthậtnhiềutiền Đểsaunàysẽhếtkhókhăn Conbiếtgiờnàyởnơiquênhà Mẹgiàđangmònmỏiđợicon Mẹcũnghéohonlochođứacon Dặndòquaphonelàmsaotrọn Conthèmcákho,canhchuamẹnấu Thèmlắmômmẹmàngủsâu Mỗingày8tiếngtừngàyđếnđêm Vấtvảtrămbềnàoaithấu? Nhậnthánglươngnàyconvộigửivề ChoMẹchữabệnh,sửamáihiên"
164,164,37353932375f3439.wav,Mộngướcvềsau Cáchxamặtnhau Chỉlàmngàythánghưhao Tuổixuânlàbao Chẳngđợithờigianvụttới Rồimaiđây Trăngtàsoibóng Ngóquanhlại Cònai Tìnhđẹptìnhmơ
