,Unnamed: 0,Wav_path,Lyric_path
101,101,37373536335f3833.wav,  Nhớ người !  Tarót......ly....này.....
951,951,39323538325f3135.wav,Đêmquatínhgửidòngthưí NóilàmuốnlàmchồngchồngNhưý Nhưngmàthôimàthôisaodámrớ Bởinhưvậysẽ CólỗivớiThư Emgìơitìmtrong Mắtanhcóchi Trongkhiđótrênmắt ỞtrênmắtđãcóMi Emlàduynhấtkhông Dangdíuvàlinhtinh Saomàgiảithích ChoLinhhiểuvàLinhtin Nóilàemsẽ Dễkhianhthương
664,664,37373439325f3637.wav,Dùthươngembaonhiêu Cũngvẫn
78,78,3132313739305f3131.wav,Chỉriênganhmộtmình Ngồiđâynhớemphútgiây Mybabengườivộivàng Cấtbướcrađi Đểanhnơiđâylẻloi Đểchotiếngmưahoài Khócthươngngườiơi Giờanhsẽxóabónghình Biếtmấtemtrongđời Khitrờimưarơi Anhsẽkhôngnhớemyehyeh Giờanhmongem
507,507,38303130395f3934.wav,Tócmàuxanhlá Mộtdạngđặcbiệt CủavịXaydahuyền Thoạibíẩn Songokulêndạngvô Cựcphảilùi Mộtbướcđánhcầncẩnthận LạchướngBrolyđánhvớiFrieza Đểcóthờigian Haingườicùnghợpsức Gokuhợpthểvới Vegetatrậnchiến Nảylửanguyhiểm Đếnquámức Ngọcrồnglúcnày Đãđượckêugọi Rồngthầnxuấthiện Mangtheođiềuước
893,893,37323434315f3331.wav,Ngàyxưaconbéngâythơ Mànayconđãđixa
912,912,37343838395f3835.wav,Cũngđangnhiềutrốngvắng Chắclàdotimanh Đangcầnaiđó Cóphảilàem Mộtbàntay Haybờvainhỏ Suynghĩtronganh Cóchăngemhiểurõ Lãngmạnvàyêuem Mongemmộtngày Sẽhiểunó Nếuconthuyềnlàem 1ngàysẽrakhơi Anhlàbếncốgọithậtto Liệuemcótrảlời Dòngđờilàsóngbiển Xôđẩyemrãrời Chỉcầnemnóilàvề Okanhsẽđợi Đợinơimàemđãtừng Đểemsẽnhìnthấyanh
83,83,37393230305f39.wav,Vìemyêuanhcảtronggiấcmơ Nêntìnhemtraoanh Làkhôngbếnbờ Từngphútgiâybênanhđongđầy Baoyêuthươngthànhnỗinhớ Đểemmãicóanh Trongnhữngđêmmơ Vìemyêuanhcảtronggiấcmơ Nênkhoảnhkhắcbênanh
280,280,38313634305f3939.wav,Nhưngcứkéodài Thìphảilàmsao Mặcdùhoànhảo Luônđượctôntrọng Ởtronggiađình HaytàuBigMom Anhluônphấnđấu Đểgiữhìnhảnh KhiLuffyđếnhoàn Hảokhôngcòn Mộtcuộcsotài TrongthếgiớiGương Cũngđủbộclộ Rahếtbímật Anhkhôngđánhgiá ThấpvềLuffy Khảnăngtươnglai Buộcanhđốimặt Mộtmốiđedọa
244,244,3132313130335f3236.wav,Bãotốcógiăngngangcuộcsốnggiannan Thìconvẫnluôngiữtrọntìnhmẹ Dùcóphaiphôitheonămtháng Conđãvềconđãvề Từnơiđấtkháchnèmẹơi Conđãvềtrênlưng Hànhlýđầynhữngnhọcnhằnnèmẹơi Conđãlớnrồi Đểbiếtnơiđâucóvịtha Vàconđãlớnđểbiếtnơiđâu Khitrướcmặtconlàbiểncả Conđãvềconđãvề Từnơiđấtkháchnèmẹơi
950,950,37303538365f3439.wav,"Chuônggiáođườngvanglên Đêmnoel,đêmnoel Tahãychúcnhaucâucười"
706,706,38313736305f3238.wav,Thươnglắmembiếtkhông Nhìndòngngườiqualại Đôimắtnàycứngóngtrông Emđãxaxamãiđôivòngtay Emđãquên Quênkỷniệmngàyhômđấy Emđãkhôngcònlàem Ngàyhômquaanhtừngbiết Kýứcnàokhắctênem Đểnỗibuồnnàydadiết
535,535,37393432395f3339.wav,Anhquathươngđau Emơilòngnàyyêuem Chỉcóhàngme Mớihiểulònganh
661,661,38303130395f313331.wav,Beerus-samacóthểthuacậu Nếunhưxảyra Mộtcuộcchiến
39,39,37373037385f3133.wav,Bútthầnanhtôhoạtranh Đemsứctraixâyđềnđài Gấmvócchongàymai Xinhãyyêuvàthương Chothậtnồngnàn Bằngtìnhyêusayđắm. Khôngdốigiankhônglọclừa Khôngđắnđokhôngchầnchừ Cầngìđâuphảingỡngàng Đợichỉnhìnđôi Tatrêntrầngian Thậttuyệtvờiniềm
30,30,38313834385f3832.wav,Bêncầutrelắclẽonămnào Emơinhớemlâurồi Anhtrởvềlạiquêhương
884,884,37343135335f3534.wav,Quaymặtlạinhìnvềphíasau Vìtacòntrôngngóng Hátmãirapmãi Cõilòngngàycàngthêmtrốngrỗng Tamongmìnhđangđứngtrênbờđê Đóncơngiólồnglộng Đểcuốntrôihếthìnhảnhvềem Xótlại Đểmaitabắtđầucuộcsốngmới Khôngemchungbướcvềtươnglai Nỗibuồnnàothờigianqua Chẳngphaimờtrongkíức Tabiếtemsẽquênmau Khôngcầnphảiđaubuồnkhôngphísức
350,350,37383139345f35.wav,Tấttatấttưởi Bướcphongsương Ngạingầnưcáichichi Nợnầnđithếgiansi Emđẹpemxinhem
168,168,3130313435345f3132.wav,Chuyệnsaiđúngmặcai Chỉcầntiềnright Cầngìđếnngàymai Societytheydon’tgivea Whataboutsociety Chỉcầntrendychỉcầnmoney Thôi Theydon’tgivea Whataboutsociety Tamgiácvuôngtròn Kẻkhócngườicườihảhê
464,464,37363137375f3336.wav,Chiềunaykhôngcómắtem Cườinhưlúcxưa Chiềunaygócphốcũngbiếtbuồn Thảhoabaykhắpconđường Chiềunaykhôngcómưarơi Anhlặngim Rồiphiêulinhhátđểgiócuốn Emđimãixavời
54,54,37363432385f3830.wav,Lúc em đói anh đưa kem 3 que nè  Emcòncầngìnữahay Emcònmuốnuốngsữa Cáigìemcũngmuốn Anh chẳng biết Chiềunhưnàonữa Cuộc sống này lúc ko có em   Anhvẫnđẹptrai A vẫn hàng ngày Quenxãgiao Vớimấythằnggái Emnhìnlạibảnthân Coiemracáigì Tốibôisonchátphấn Đivớimấythằngmàemquý Anh ko đĩ như kyo  Suy như zenky đâu  Anhchỉthích Ănheoquay
23,23,37393532375f3734.wav,Chỉmộtmìnhemthôi Hãytrởvềvớianh Anhvẫnluônnơiđâyđợingười
247,247,37393039325f3430.wav,Xinanhđừngchạm Cuộcđờiriêngcủaem Đểemquênđượcanh
560,560,37323332315f3534.wav,Nghiêngngảvìem Dùsóngđãlàmanh Nghiêngngảvìem
516,516,37373539395f3435.wav,"Tưởngnhư,tưởngnhưcònđây. Hơiấmtraoanhtuổithơngây. Tưởngnhư,tưởngnhưcònđây."
801,801,38313733345f3633.wav,Hãyvuivìbênemluôncó Mộtngườimangchoem Nhiềuniềmvuivàhạnhphúc
979,979,37343431395f30.wav,SàiGòngiấuanhkĩquá Đểđếnkhiemtìmra Anhđãthuộcvềngườita Lâurồi Mìnhcườilêncheniềmđau Cốgắngkhôngnghĩvềnhau Vàcốkhôngyêuđậmsâu Cùngnhau
3,3,37353439365f3634.wav,Trờisaomưagiông Bãotốđểbâygiờ Cánhcòmồcôi Buồntrôngđêmsươngquạnh Vắngsáoxarồi Mongđợimàchi Trờisaomưagiông Bãotốđểbâygiờ Cánhcòmồcôi Buồntrôngđêmsươngquạnh
545,545,3131393732315f3232.wav,Tuycôđâykhôngphảilàngườixấu Nhưngđốivớicácemthìcôngầu Chưabiếtchưabiếtchưabiết Vàchưabiếtchưabiếtchưabiết Chưabiếtaitinhquáihơnai Nênđừngvộivuicườiđắcthắng Locácemtừtrongrangoài Trìnhcôcaolàđiềuchắcchắn Tuyệtchiêucônókhôngsơsài Mấyemnêncầnphảicốgắng Đừngcósợrồingồithởdài
218,218,37393539355f3335.wav,Cámơnlờiemhứadẫuxavời Nhưngvìyêutavẫn(cố) Tinngàymai Cámơnđờiđểthấyvơinhẹlòng Chotrọntìnhnhữnglúctacònnhau Cám ơn người  Trongphútgiâymặnnồng
409,409,37353436355f3631.wav,Khôngcònđónđợi Tìnhmìnhđãchết
707,707,3130313138315f3237.wav,Saycảngànlờicamàanhviết Muốnđượcđicùngem Khôngbaogiờphảitừbiệt Anhgiữcảmxúcnàyluônđượcbềnlâu Vươngtrênđôimilàhìnhbóngcủanhau Cónhữngđêmanhgiậtmìnhtỉnhgiấc Ngồilạiviếtnhạcgửigắmvàovầncâu Thôithìvềnhàanhđiem Ngoàikiaxôbồlắmthứbonchen
436,436,38313338385f313338.wav,RayleighDạyHakiLuffy Vuabóngđêmcòntruyền LàthợtrángthuyềntạiSabaody
208,208,37353330335f3737.wav,Honeycủaemthôi Vàvẫnlàanh Ngườiemyêunhất Dùnhịptim Haitađãlỗi Anhcókhoẻkhông Vẫncâucửamiệng Emtựhỏi Cóđượcđónnắng Vàonhữngsớmmai Khithứcdậy Cócònnhưem Chờđợitinnhắn Dẫubiếtchẳngcóđâu Cócònlặnglẽ Vàotrangfacebook Nhìnemnhưngàyđầu Tínhcáchhaita Quákhácnhau Cãivãmỗingày
58,58,37343333375f3636.wav,Tìmlạinhữngphút Vuingày... Ấu....thơ.....
63,63,37343436375f3333.wav,Môihônngọt Traoemđêmê Nhưngkhibênngười Anhcũngthế Đừngxinlỗi Vớinhữnglờichối Emđãmệtrồi Mìnhkhôngthể Tiếptụclầmlỗi Trởvềbêncôấy Hãyxoáđihết Yêuthươngngàynào Tabênnhau Emsẽthầmchúcphúc Choanhsẽ Trọnvẹnyêuthương
359,359,37323030315f3236.wav,"Baonhungnhớsầuthươngxótxa Thoángvútcao,nghecàngnhưréorắcmuônđời Ngườiyêudấuơi,tavềphốxưa Never fall in love Tình yêu ngõ tối sâụ, hồn ta ngỡ Mình về đâu lúc đã lỡ xa rời nhaụ"
514,514,37323533375f3837.wav,Biếtnóigì Khiđườngtìnhchiahailối Đànhthôinhéanhvàem Khôngcònđónđưa Trongchiềumưa Đànhthôinhéanhvàem Khôngcònluyếnlưu Nhưngàyxưa Đànhchiađôiconđườngđi Emlànắng Anhsẽlàmưa Bởiđôitakhôngthể Chungmộtconđường Bởiđôita
100,100,38313136365f3335.wav,Nhiềulầnđềnghị ÔnglênlàmĐôĐốc Nhưngcâutừchối Lúcnàotuônra Bởivìvớiông Thậtsựkhôngcầnthiết Sựviệcxảyra TrướckhiVuaHảiTặcchết Chứccaonhưvậy Ôngsẽbịgòbó Khôngcònlàmđược Nhữnggìmàmìnhthích Lochocháutrai Trởthànhmộthảiquân Nhưngnóđingược Vớinhữnggìmàôngtính Nhiềungườikhẳngđịnh VịthếcủaD.Garp
479,479,37373233335f3130.wav,Tâmhồnkhôngsầu Khôngphiềnvì..ai Màumắtthơngây Tócxõabuông...dài Lờiyêuđương Vẫnrótbêntai Nhưnglòng Khônghềyêuai BếnXuânxin Ướchẹnngàymai
308,308,37393433325f3137.wav,Aiđờncâuvọngcổ CôÚtđirồi Bỏlạimốitìnhquê Hươngmíathơmnhư Tấmlòngemđó Sốngnơithịthành Cócònnhớđếnanh Xingởicánhchim
