,Wav_path,Lyric_path
0,38313030375f3833.wav,Emvềnơihaichúngta Khôngcùnglối Đểbìnhyênsẽmãiluônbênem
1,3134303135395f3439.wav,Thìnhéngườinếuđếnvớitôi Xinyêutôi Xinyêutôibằngcảtìnhngười
2,37373937325f3131.wav,Tráiđấtnày Làcủachúngmình Cùngbaynào Cùngbaynào Chotráiđấtquay Cùngbaynào
3,37353439365f3634.wav,Trờisaomưagiông Bãotốđểbâygiờ Cánhcòmồcôi Buồntrôngđêmsươngquạnh Vắngsáoxarồi Mongđợimàchi Trờisaomưagiông Bãotốđểbâygiờ Cánhcòmồcôi Buồntrôngđêmsươngquạnh
4,37363138335f30.wav,Ôngấykể Vềtâynguyênhaimùacỏxanhtươi Kểchocontrainghenhữnggì Tatrảiởcáituổiđôimươi Kểvềquákhứvàniềmđau Khimộtthờicòntrẻcon Kểnhữngthứtalàm Chỉđểmộtngày Cuộcsốngdễthởhơn Taphảichạyvớithờigiờ Ởchânđê Nhưnghãycườivànóivớihọrằng Conđãlớntừdânquê Đếnlúcconđãphảiđi Nhưbầychimtungcánhdangsải Hãysốngnhưthằngđànông Vìngườinàođómàbiếttrangtrải
5,37313731385f3335.wav,Ấymấychắpmáilợp Rútsợinhớ Mấyđanvòmxanh NghiêngsườnĐông Màchemưaanh NghiêngsườnTây Xòebóngmát
6,3132313130335f3133.wav,Nhiềulúcconnhìnđồnghồchỉbiết Ngoàikialàđãtrưa Chéncơmcanhcàconcámẹkho Thìconvẫngiữkỷniệmcũ Nơiđấtsàithànhkhôngđủno Dùcóbềbộnnhưthếnào Thìvẫnthuxếpvềvớimẹ Vuốtmáitócmẹmuốnmẹnuôngchiều Nhưngàynàođólúcconcònbé Baogiờrừngkiahếtlá Dùchỉcònlạinhánhcâykhô Baogiờsuốikiangừngchảy Thìcuộcđờimẹcólẽsehếtkhổ
7,37303137375f3333.wav,Vớicánhthưhồng Ấpyêu Rừnglàrừngchậpchùng Giálạnhtraichiếntrường Đêmnayxaquêhương Xalìatiếngnói Ngườithương Ngàyanhlênđường Chiếnđấu Hoalòng Đãnởtìnhyêu
8,3133363137365f3331.wav,Dangđôitayhoakhôiemđónmời Cùngvớinămchâu SàiGònhònngọcviễnđông
9,37363233395f3437.wav,Lờichiatay Khiemchưahiểuthấu Đượccontim Anhyêuemrấtnhiều Vềđi Anhthathứqualỗilầm Ngườiyêuơi Anhyêuemnhiềulắm Ngườiyêuơi Xaem
10,37393436375f38.wav,Vànỗiđaukiavẫnkéodài Dùcórasao Emvẫnmonganhđừngquaytrởlại Tráitimanhvàdòngmáunóng Đểyêuem Giấcmơơiởlại Bêntôiđừngtannhanh Ngàymaithứcgiấcthấy
11,37333132385f3736.wav,Nhớdángaingồiđây Khichiềunàoquaytơ Bênbảnxưađợichờ
12,37363630395f3335.wav,Ướcmơquayvề Câuđávàngcùngai Giómưatronglòng Nghelạnhbuồntim Ngườiơithấuchăng Hỡihỡicôláiđò Saođànhlòngquên
13,37303333365f3635.wav,Chotađợichờ Mongđượcthấy Emtrongcơnsay Emlàai Phảichănglàthật Màsaota Cứmãiđitìm Emlàai Sauđêmđịnhmệnh Tanàobiết Emởđâu Emlàai Trêncuộcđờinày
14,37373131345f30.wav,Mìnhngồitựavai Lờicuốitatraocholyrượucay Maiđâymỗiđứacáchxarồi Bạnơihãynhớ
15,37313937355f3430.wav,Hỡicốnhânơi Chuyệnthầntiênxavời Tìnhđãnhưvôi Mongchicònchungđôi Cứcúimặtđi Đểngheđờilầmlỡ
16,37393337325f3131.wav,Saocólúctabuồnnhìn Sươngđêmrơikhỏilá HàngTùngBáchlàcon Từngvươnlênnơisỏiđá Xinđấtmẹyênbình Dõitheohoàivọnglớnlao Ởgiữabaolabầutrời Choconđược Làm1đómsao Vàvớimộtgói Thườngnhưmộtthói
17,3130303930325f3134.wav,"Ngàyqualuôntháng Đờisinhrata Lànhữngmảnhđấtthiệttòi _mẹơi,thángtrước..bamấtviệcrồi! Embé!Tađợiemởcuốivạchtrắng Tasẽđiđếnnơibìnhyên Vàrửatrôisạchnắng Chotrờisáng..rồimưatừnghạt Chonhữngvếtxămtrêndata Đungđưacùngnhạc Khôngcầnđôibàntay*Yeah* Khôngnhìnlêntrờimây*Ah* Xemthờigiantựxoay Vàtựthaysớmmai Đưangườitavềđâu*Ah*"
